sentence_key_furigana	sentence_key_plain	Word	Sentence	Word Audio	Sentence Audio	Definition	Definition Audio	Image	Notes
いい<b>本[ほん]</b>でしたね。	いい<b>本</b>でしたね。	本[ほん]:1-	いい<b>本[ほん]</b>でしたね。	[sound:本_ホ＼ン_1_NHK-2016.mp3]	[sound:honS.mp3]	<!-- def-type=\"bilingual\" -->A book.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->紙に文字や絵が書いてあって、読むもの。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00011.mp3]<!-- def-end -->	\"<img src=\"\"book_yoko.webp\"\">\"	It was a good book, wasn't it?
<b>これ</b>は 日本[にほん] 語[ご]の 本[ほん]です。	<b>これ</b>は 日本 語の 本です。	これ:0-	<b>これ</b>は 日本[にほん] 語[ご]の 本[ほん]です。	[sound:これ_コレ━_0_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0235.mp3]	<!-- def-type=\"bilingual\" -->This; the thing right here near me.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->自分のすぐ近くにあるものを指すときに使う言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00012.mp3]<!-- def-end -->	\"<img src=\"\"kosoado2_kore.webp\"\">\"	This is a Japanese book.
A「これは<b>何[なん]</b>ですか。」<br/>B「 本[ほん]です。」	A「これは<b>何</b>ですか。」<br/>B「 本です。」	何[なに・なん]:1-	A「これは<b>何[なん]</b>ですか。」<br/>B「 本[ほん]です。」	[sound:9ef558b78122dd5a3a4c05d55bd6f033-9ee9d08831e1c47e04a31ed10b8c75c0d8c94e0e.mp3]	[sound:JLPT_Tango_N5_0243.mp3]	<!-- def-type=\"bilingual\" -->What; the question word for asking about unknown things.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->わからないものをたずねるときに使う言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00013.mp3]<!-- def-end -->	\"<img alt=\"\"女の子の表情のイラスト「目がハート・疑問・居眠り・照れ ...\"\" src=\"\"girl_question.webp\"\">\"	A: What is this?<br>B: It's a book.<br><br>Can be read either なに or なん.
<b>それ</b>は 本[ほん]です。	<b>それ</b>は 本です。	それ:0-	<b>それ</b>は 本[ほん]です。	[sound:8b0ee07c0864e07d96871e87f158ad96-efdddaf31dbe1b15c565627266d51198e579319a.mp3]	[sound:soreS.mp3]	<!-- def-type=\"bilingual\" -->That thing there; refers to something near the listener.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->相手の近くにあるものを指す言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00014.mp3]<!-- def-end -->	\"<img src=\"\"kosoado2_sore.webp\"\">\"	That is a book.
<b>あれ</b>は 何[なん]ですか。	<b>あれ</b>は 何ですか。	あれ:0-	<b>あれ</b>は 何[なん]ですか。	[sound:c7ebca148c5293d1a0c7a004c182eba7-f9031ebbabe0dd8444b9e19b954f2540b9a664bf.mp3]	[sound:da6575acfab0df719bc8a035ee57ea96-e609ef29f30f2e102180cba9b5531ed279892376.mp3]	<!-- def-type=\"bilingual\" -->That thing over there; points to something far from both speaker and listener.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->自分からも相手からも遠くにあるものを指す言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00015.mp3]<!-- def-end -->	\"<img alt=\"\"これ・それ・あれ」のイラスト | かわいいフリー素材集 いらすとや\"\" src=\"\"kosoado2_are.webp\"\">\"	What's that?
<b>どれ</b>が 好[す]きですか。	<b>どれ</b>が 好きですか。	どれ:1-	<b>どれ</b>が 好[す]きですか。	[sound:722241bb0f4ce21cbb388e276ae0a6f4-6777a1ec0dbfd6d10792a35422b6e80ccd55a777.mp3]	[sound:b3b2c52dd411c176af418032442fbb98-6d6972313a4f2dde8f2f16516d1c80fbe6cc8090.mp3]	<!-- def-type=\"bilingual\" -->Which one; used when asking someone to pick from three or more things.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->いくつかある中から、どの一つかを聞くときの言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00016.mp3]<!-- def-end -->	\"<img alt=\"\"お菓子を選ぶ子供のイラスト（男の子） | かわいいフリー素材集 いらすとや\"\" src=\"\"sweets_okashi_erabu_boy-7fdb9e3ff6c8372fc936d1fe173e4042554f8453.webp\"\">\"	Which would you like?
<b>毎[まい] 日[にち]</b>、 日本[にほん] 語[ご]を 勉[べん] 強[きょう]します。	<b>毎 日</b>、 日本 語を 勉 強します。	毎[まい] 日[にち]:1-	<b>毎[まい] 日[にち]</b>、 日本[にほん] 語[ご]を 勉[べん] 強[きょう]します。	[sound:4465289718153b4963a8cc301289e914-de5a300452d8c7d0f48f25ff1f3419547f08a3f7.mp3]	[sound:JLPT_Tango_N5_0145.mp3]	<!-- def-type=\"bilingual\" -->Every day; each day.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->今日も昨日も明日も、全部の日のこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00017.mp3]<!-- def-end -->	\"<img src=\"\"text1_mainichi.webp\"\">\"	I study Japanese every day.
これは<b>兄[あに]</b>のパソコンです。	これは<b>兄</b>のパソコンです。	兄[あに]:1-	これは<b>兄[あに]</b>のパソコンです。	[sound:3b174a5bd2eab47d46f1dc630477454a-d06792fbe4460a84d6042a2a511fe8c66ced8e08.mp3]	[sound:JLPT_Tango_N5_0261.mp3]	<!-- def-type=\"bilingual\" -->Your older brother, when talking about your own.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->自分より先に生まれた男のきょうだい<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00018.mp3]<!-- def-end -->	\"<img src=\"\"family_kyoudai.webp\"\">\"	This is my older brother's personal computer.
兄[あに]が<b>います</b>。	兄が<b>います</b>。	いる:0	兄[あに]が<b>います</b>。	[sound:いる_イル━_0_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0040-02.mp3]	<!-- def-type=\"bilingual\" -->To exist or be present; used for living things like people or animals.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->人や動物がそこにあること。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00019.mp3]<!-- def-end -->	\"<img alt=\"\"妹と弟を可愛がるお兄さんのイラスト | かわいいフリー素材集 いらすとや\"\" src=\"\"brothers_chounan-7c1ee034cef1e3d1e9c0bd7cd3cbe30d853a972d.webp\"\">\"	I have an older brother.
ペンが<b>ある</b>。	ペンが<b>ある</b>。	ある:k1	ペンが<b>ある</b>。	[sound:ある_ア＼ル_1_NHK-2016.mp3]	[sound:aruS.mp3]	<!-- def-type=\"bilingual\" -->To exist or be there; used for things that don't move on their own.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->そこにものがいること、つまり「いる」のものバージョン。  Wait, let me reconsider — ある is for inanimate things.  ものがそこにある、という意味。ものが存在していること。  Hmm, I'm using the word itself in the definition. Let me do this properly:  ものがそこにいる、ということ。人や動物には「いる」を使うけど、動かないものには「ある」を使う。  ---  Actually, let me follow the instructions strictly: one sentence, under 40 characters, no preamble, 体言止め.  ものがその場所にあること。— still uses the word itself.  Here's my final answer:  何かがそこに存在していること。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00020.mp3]<!-- def-end -->	\"<img alt=\"\"いろいろなマーカーのイラスト | かわいいフリー素材集 いらすとや\"\" src=\"\"pen_marker_close3_yellow.webp\"\">\"	There is a pen.
スポーツは<b>あまり</b> 好[す]きじゃありません。	スポーツは<b>あまり</b> 好きじゃありません。	あまり:3-	スポーツは<b>あまり</b> 好[す]きじゃありません。	[sound:あまり_アマリ━_0_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0524.mp3]	<!-- def-type=\"bilingual\" -->Not very much; used with a negative to mean \"not really\" or \"not especially.\"<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->「そんなに～ない」と言いたいときに使う言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00021.mp3]<!-- def-end -->	\"<img src=\"\"sports_man.webp\"\">\"	I don't really like sports.
彼[かれ]は<b>今[いま]</b>、 勉[べん] 強[きょう]しています。	彼は<b>今</b>、 勉 強しています。	今[いま]:1-	彼[かれ]は<b>今[いま]</b>、 勉[べん] 強[きょう]しています。	[sound:b1bac99f71951be325093ff9ef5902dc-0a6c895f5f24d623d2de48fa9eab56a220d1856a.mp3]	[sound:f0f1725c926b64b8ddcc17e413914ed8-361d9dc0e27a097586758af272b6910e12f98c19.mp3]	<!-- def-type=\"bilingual\" -->Right now; this present moment in time.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->ちょうどこのときのこと<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00022.mp3]<!-- def-end -->	\"<img alt=\"\"時計の検索結果 | かわいいフリー素材集 いらすとや\"\" src=\"\"kaden_digital_tokei.webp\"\">\"	He's studying now.
今[いま]は<b>時[じ] 間[かん]</b>がありません。	今は<b>時 間</b>がありません。	時[じ] 間[かん]:0-	今[いま]は<b>時[じ] 間[かん]</b>がありません。	[sound:41e9126a0d1852dd6072f7a1b8d05558-4989812e99eb121d12adc7ad74d329dfd9298cee.mp3]	[sound:fe6b580a409f268f0e4f9765cdd794ca-ba194c5df337ac8ba6371a3238d4dcf0aeb78785.mp3]	<!-- def-type=\"bilingual\" -->A span of time, or the time available to do something.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->朝から夜へと関係なく過ぎていく、目に見えない流れ<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00023.mp3]<!-- def-end -->	\"<img src=\"\"jikan_tobu.webp\"\">\"	I don't have time now.
今[いま]はあまり 時[じ] 間[かん]が<b>無[な]い</b>のです。	今はあまり 時 間が<b>無い</b>のです。	無[な]い:k1	今[いま]はあまり 時[じ] 間[かん]が<b>無[な]い</b>のです。	[sound:a67ef780f84bea265815b6db3d063cb8-fe729ae97a2972111629cc438dd7ddfd65e239bc.mp3]	[sound:naiS.mp3]	<!-- def-type=\"bilingual\" -->Not existing; the state of not having something.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->「ある」の反対で、存在しないこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00024.mp3]<!-- def-end -->	\"<img alt=\"\"金欠のイラスト（男性）\"\" src=\"\"money_kinketsu_man-a865a3313a308d24df1f53197a3945604cd2a88c.webp\"\">\"	I don't have much time now.
山[やま] 田[だ]さんの 本[ほん]はどれですか。<b>この</b> 本[ほん]ですか。	山 田さんの 本はどれですか。<b>この</b> 本ですか。	この:0-	山[やま] 田[だ]さんの 本[ほん]はどれですか。<b>この</b> 本[ほん]ですか。	[sound:この_コノ━_0_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0239.mp3]	<!-- def-type=\"bilingual\" -->This; points to something near the speaker.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->自分のすぐそばにあるものを指す言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00025.mp3]<!-- def-end -->	\"<img alt=\"\"不動産の検索結果 | かわいいフリー素材集 いらすとや\"\" src=\"\"house_ie_sagashi.webp\"\">\"	Which book is Yamada-san's? Is it this book?
<b>その</b> 本[ほん]ですか。	<b>その</b> 本ですか。	その:0-	<b>その</b> 本[ほん]ですか。	[sound:その_ソノ━_0_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0240.mp3]	<!-- def-type=\"bilingual\" -->A word that points to something near the listener; \"that\" thing we both know about.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->話している相手のそばにあるものを指す言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00026.mp3]<!-- def-end -->	\"<img src=\"\"image 1.webp\"\">\"	Is it that book?
<b>あの</b> 本[ほん]ですか。	<b>あの</b> 本ですか。	あの:0-	<b>あの</b> 本[ほん]ですか。	[sound:あの_アノ━_0_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0241.mp3]	<!-- def-type=\"bilingual\" -->That; used to point to something both speaker and listener know about, but isn't right here.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->話している人たちから遠くにあるものを指す言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00027.mp3]<!-- def-end -->	\"<img src=\"\"image 2.webp\"\">\"	That book (over there)?
<b>どの</b> 本[ほん]ですか。	<b>どの</b> 本ですか。	どの:1-	<b>どの</b> 本[ほん]ですか。	[sound:どの_ド＼ノ_1_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0242.mp3]	<!-- def-type=\"bilingual\" -->Which; used before a noun to ask \"which one\" out of three or more.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->たくさんある中から「どれ？」と関係のあるものを聞くときに使う言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00028.mp3]<!-- def-end -->	\"<img alt=\"\"お菓子を選ぶ子供のイラスト（男の子） | かわいいフリー素材集 いらすとや\"\" src=\"\"sweets_okashi_erabu_boy-7fdb9e3ff6c8372fc936d1fe173e4042554f8453.webp\"\">\"	Which book is it?
兄[あに]は 毎[まい] 日[にち]テレビを<b>見[み]ます</b>。	兄は 毎 日テレビを<b>見ます</b>。	見[み]る:k1	兄[あに]は 毎[まい] 日[にち]テレビを<b>見[み]ます</b>。	[sound:4553491bd93c9fd49f9fcd420a8bac3e-7cd0ef7d180a4dec8d7df2bf346f89d033052953.mp3]	[sound:miruS.mp3]	<!-- def-type=\"bilingual\" -->To look at or watch something with your eyes.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->目を使って何かをながめること。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00029.mp3]<!-- def-end -->	\"<img src=\"\"pose_doredore_man.webp\"\">\"	My older brother watches TV every day.
テレビを<b>全[ぜん] 然[ぜん]</b> 見[み]ません。	テレビを<b>全 然</b> 見ません。	全[ぜん] 然[ぜん]:0-	テレビを<b>全[ぜん] 然[ぜん]</b> 見[み]ません。	[sound:16ce975c2b73161bdb6cc23c1f2864d2-bdc810120bf463a8df09bbbc692faa1fa5d9ec75.mp3]	[sound:JLPT_Tango_N5_0403.mp3]	<!-- def-type=\"bilingual\" -->Emphasizes \"not at all\"; completely, to zero degree.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->少しもない、まるでゼロだ、と強く言いたいときに使う言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00030.mp3]<!-- def-end -->	\"<img alt=\"\"「ダメ」のポーズをする人のイラスト（男性）\"\" src=\"\"dame_man-dfc1a882bd7da723328ea20c745db91c191ba31d.webp\"\">\"	I never watch televison.
この 本[ほん]は 全[ぜん] 然[ぜん]<b>面[おも] 白[しろ]くなかった</b>。	この 本は 全 然<b>面 白くなかった</b>。	面[おも] 白[しろ]い:k4	この 本[ほん]は 全[ぜん] 然[ぜん]<b>面[おも] 白[しろ]くなかった</b>。	[sound:01e3329b1993208a0da0279860533f9a-caf422b4c342ec4baaeabf0eeb14909e910c5f2f.mp3]	[sound:db3d645c85365755c755208ad3aab5bb-971936ac59eada448acba31bf5101ea49b75a00d.mp3]	<!-- def-type=\"bilingual\" -->Interesting or entertaining; it catches your attention and you enjoy it.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->楽しくて夢中になれること。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00031.mp3]<!-- def-end -->	\"<img src=\"\"hyottoko.webp\"\">\"	This book wasn't interesting at all.
